symbol,date,price
S&P 500,Jan 2000,1394.46
S&P 500,Feb 2000,1366.42
S&P 500,Mar 2000,1498.58
S&P 500,Apr 2000,1452.43
S&P 500,May 2000,1420.6
S&P 500,Jun 2000,1454.6
S&P 500,Jul 2000,1430.83
S&P 500,Aug 2000,1517.68
S&P 500,Sep 2000,1436.51
S&P 500,Oct 2000,1429.4
S&P 500,Nov 2000,1314.95
S&P 500,Dec 2000,1320.28
S&P 500,Jan 2001,1366.01
S&P 500,Feb 2001,1239.94
S&P 500,Mar 2001,1160.33
S&P 500,Apr 2001,1249.46
S&P 500,May 2001,1255.82
S&P 500,Jun 2001,1224.38
S&P 500,Jul 2001,1211.23
S&P 500,Aug 2001,1133.58
S&P 500,Sep 2001,1040.94
S&P 500,Oct 2001,1059.78
S&P 500,Nov 2001,1139.45
S&P 500,Dec 2001,1148.08
S&P 500,Jan 2002,1130.2
S&P 500,Feb 2002,1106.73
S&P 500,Mar 2002,1147.39
S&P 500,Apr 2002,1076.92
S&P 500,May 2002,1067.14
S&P 500,Jun 2002,989.82
S&P 500,Jul 2002,911.62
S&P 500,Aug 2002,916.07
S&P 500,Sep 2002,815.28
S&P 500,Oct 2002,885.76
S&P 500,Nov 2002,936.31
S&P 500,Dec 2002,879.82
S&P 500,Jan 2003,855.7
S&P 500,Feb 2003,841.15
S&P 500,Mar 2003,848.18
S&P 500,Apr 2003,916.92
S&P 500,May 2003,963.59
S&P 500,Jun 2003,974.5
S&P 500,Jul 2003,990.31
S&P 500,Aug 2003,1008.01
S&P 500,Sep 2003,995.97
S&P 500,Oct 2003,1050.71
S&P 500,Nov 2003,1058.2
S&P 500,Dec 2003,1111.92
S&P 500,Jan 2004,1131.13
S&P 500,Feb 2004,1144.94
S&P 500,Mar 2004,1126.21
S&P 500,Apr 2004,1107.3
S&P 500,May 2004,1120.68
S&P 500,Jun 2004,1140.84
S&P 500,Jul 2004,1101.72
S&P 500,Aug 2004,1104.24
S&P 500,Sep 2004,1114.58
S&P 500,Oct 2004,1130.2
S&P 500,Nov 2004,1173.82
S&P 500,Dec 2004,1211.92
S&P 500,Jan 2005,1181.27
S&P 500,Feb 2005,1203.6
S&P 500,Mar 2005,1180.59
S&P 500,Apr 2005,1156.85
S&P 500,May 2005,1191.5
S&P 500,Jun 2005,1191.33
S&P 500,Jul 2005,1234.18
S&P 500,Aug 2005,1220.33
S&P 500,Sep 2005,1228.81
S&P 500,Oct 2005,1207.01
S&P 500,Nov 2005,1249.48
S&P 500,Dec 2005,1248.29
S&P 500,Jan 2006,1280.08
S&P 500,Feb 2006,1280.66
S&P 500,Mar 2006,1294.87
S&P 500,Apr 2006,1310.61
S&P 500,May 2006,1270.09
S&P 500,Jun 2006,1270.2
S&P 500,Jul 2006,1276.66
S&P 500,Aug 2006,1303.82
S&P 500,Sep 2006,1335.85
S&P 500,Oct 2006,1377.94
S&P 500,Nov 2006,1400.63
S&P 500,Dec 2006,1418.3
S&P 500,Jan 2007,1438.24
S&P 500,Feb 2007,1406.82
S&P 500,Mar 2007,1420.86
S&P 500,Apr 2007,1482.37
S&P 500,May 2007,1530.62
S&P 500,Jun 2007,1503.35
S&P 500,Jul 2007,1455.27
S&P 500,Aug 2007,1473.99
S&P 500,Sep 2007,1526.75
S&P 500,Oct 2007,1549.38
S&P 500,Nov 2007,1481.14
S&P 500,Dec 2007,1468.36
S&P 500,Jan 2008,1378.55
S&P 500,Feb 2008,1330.63
S&P 500,Mar 2008,1322.7
S&P 500,Apr 2008,1385.59
S&P 500,May 2008,1400.38
S&P 500,Jun 2008,1280
S&P 500,Jul 2008,1267.38
S&P 500,Aug 2008,1282.83
S&P 500,Sep 2008,1166.36
S&P 500,Oct 2008,968.75
S&P 500,Nov 2008,896.24
S&P 500,Dec 2008,903.25
S&P 500,Jan 2009,825.88
S&P 500,Feb 2009,735.09
S&P 500,Mar 2009,797.87
S&P 500,Apr 2009,872.81
S&P 500,May 2009,919.14
S&P 500,Jun 2009,919.32
S&P 500,Jul 2009,987.48
S&P 500,Aug 2009,1020.62
S&P 500,Sep 2009,1057.08
S&P 500,Oct 2009,1036.19
S&P 500,Nov 2009,1095.63
S&P 500,Dec 2009,1115.1
S&P 500,Jan 2010,1073.87
S&P 500,Feb 2010,1104.49
S&P 500,Mar 2010,1140.45
MSFT,Jan 2000,39.81
MSFT,Feb 2000,36.35
MSFT,Mar 2000,43.22
MSFT,Apr 2000,28.37
MSFT,May 2000,25.45
MSFT,Jun 2000,32.54
MSFT,Jul 2000,28.4
MSFT,Aug 2000,28.4
MSFT,Sep 2000,24.53
MSFT,Oct 2000,28.02
MSFT,Nov 2000,23.34
MSFT,Dec 2000,17.65
MSFT,Jan 2001,24.84
MSFT,Feb 2001,24
MSFT,Mar 2001,22.25
MSFT,Apr 2001,27.56
MSFT,May 2001,28.14
MSFT,Jun 2001,29.7
MSFT,Jul 2001,26.93
MSFT,Aug 2001,23.21
MSFT,Sep 2001,20.82
MSFT,Oct 2001,23.65
MSFT,Nov 2001,26.12
MSFT,Dec 2001,26.95
MSFT,Jan 2002,25.92
MSFT,Feb 2002,23.73
MSFT,Mar 2002,24.53
MSFT,Apr 2002,21.26
MSFT,May 2002,20.71
MSFT,Jun 2002,22.25
MSFT,Jul 2002,19.52
MSFT,Aug 2002,19.97
MSFT,Sep 2002,17.79
MSFT,Oct 2002,21.75
MSFT,Nov 2002,23.46
MSFT,Dec 2002,21.03
MSFT,Jan 2003,19.31
MSFT,Feb 2003,19.34
MSFT,Mar 2003,19.76
MSFT,Apr 2003,20.87
MSFT,May 2003,20.09
MSFT,Jun 2003,20.93
MSFT,Jul 2003,21.56
MSFT,Aug 2003,21.65
MSFT,Sep 2003,22.69
